2. PROJEKTOWANIE,464 days
2.1. Architektura Rozwiązania,285 days
2.1.1. Architektura Systemu,279.75 days
2.1.1.1. Diagram architektury,9 days
2.1.1.2. Diagram przepływu danych,4.75 days
2.1.1.3. Schemat bazy danych,5 days
2.1.1.4. Architektura systemu escrow,7 days
2.1.2. Plan Integracji,7 days
2.1.2.1. Specyfikacja API płatności i escrow,4 days
2.1.2.2. Specyfikacja API InPost,4 days
2.1.2.3. Specyfikacja geolokalizacji,7 days
2.1.3. Technologia Mobilna,15 days
2.1.3.1. Architektura aplikacji mobilnej,10 days
2.1.3.2. Architektura przechowywania danych lokalnych,5 days
2.1.3.3. Architektura komunikacji z backendem,4 days
2.2. Procesy Biznesowe,30 days
2.2.1. Proces Główny,30 days
2.2.1.1. Proces zgłaszania zgub,10 days
2.2.1.2. Proces zgłaszania znalezisk,10 days
2.2.1.3. Proces matchowania,10 days
2.2.2. Proces Logistyczny,4 days
2.2.2.1. Nadanie przesyłki (z API InPost albo w ich apce),4 days
2.2.2.2. Śledzenie przesyłki (generowanie linków do InPost),3 days
2.2.2.3. Potwierdzenie odbioru (z API InPost),2 days
2.2.3. Proces Płatności,10 days
2.2.3.1. Wypłata znaleźnego poprzez escrow,10 days
2.2.3.2. Rozliczenie wysyłki,3 days
2.2.3.3. Obsługa reklamacji płatności,3 days
2.2.4. Projekt Systemu Weryfikacji,8 days
2.2.4.1. Schemat procesu weryfikacji tożsamości,4 days
2.2.4.2. Projekt systemu reputacji użytkowników,8 days
2.2.4.3. Specyfikacja systemu moderacji i zgłoszeń,3 days
2.3. Interfejs Użytkownika,304 days
2.3.1. Makiety Główne,7 days
2.3.1.1. Rejestracja/logowanie,5 days
2.3.1.2. Zgłaszanie przedmiotów,5 days
2.3.1.3. Lista dopasowań,7 days
2.3.2. Makiety Procesów,7 days
2.3.2.1. Proces wysyłki,5 days
2.3.2.2. Proces płatności i escrow,7 days
2.3.99. Akceptacja makiet przez klienta,0 days
2.4. Standardy i Dokumentacja,464 days
2.4.1. Standardy Nazewnictwa,3 days
2.4.1.1. Opracowanie słownika projektowego i terminologii,3 days
2.4.1.2. Projekt konwencji nazewnictwa dla systemu,3 days
2.4.2. Standardy Dokumentacji Technicznej,3 days
2.4.2.1. Projekt szablonów dokumentacji,3 days
2.4.2.2. Specyfikacja wymagań dla systemu dokumentacji,3 days
2.4.3. Specyfikacja API,11 days
2.4.3.1. Projekt standardów dokumentacji API,3 days
2.4.3.2. Specyfikacja systemu wersjonowania,3 days
2.4.3.3. Skrypt tworzący środowisko testowe API,4 days
2.4.5. Design System,10 days
2.4.4.1. Biblioteka komponentów,10 days
2.4.4.2. Zasady projektowe,4 days
2.4.4.3. Przewodnik stylów,6 days
2.4.3.99. Dostarczenie kompletnej dokumentacji projektu,0 days
